ID,Delivery Date,Aircraft Model
G-EUYY,2014-01-01,Airbus A320-232
TC-JVM,2016-01-01,Boeing 737-8F2
VP-BRV,1991-01-01,Boeing 737-528
A7-LAG,2015-01-01,Airbus A320-214
A7-AMI,2019-01-01,Airbus A350-941
9V-NCI,,
HS-PZB,2015-01-01,ATR 72-600
HS-PGN,2009-01-01,Airbus A319-132
HS-PPR,2005-01-01,Airbus A319-132
HS-PZG,,
HS-PPG,,
HS-LUP,2016-01-01,Boeing 737-8GP
B-LAA,2005-01-01,Airbus A330-343
B-LRX,2017-01-01,Airbus A350-941
HS-BBY,,
HS-VKB,,
HS-CBA,2017-01-01,Airbus A320-216
HS-VKT,0000-01-01,Airbus A320-214
HS-VKG,,
HS-VKR,,
HS-TTA,,
EI-LRE,2020-01-01,Airbus A321-253NX
EI-EFK,2009-01-01,Boeing 737-8AS
HB-JXM,2018-01-01,Airbus A320-214
A7-ALQ,2017-01-01,Airbus A350-941
A7-BCI,2013-01-01,Boeing 787-8
9V-MGK,2015-01-01,Boeing 737-8SA
9V-SHQ,,
HL8017,,
HL8353,2021-01-01,Boeing 737-8
HL8244,2012-01-01,Boeing 737-8Q8
VN-A690,,
VN-A630,,
VN-A571,,
VN-A656,2015-01-01,Airbus A320-214
9M-MLG,2010-01-01,Boeing 737-8FZ
EI-LRA,2019-01-01,Airbus A321-251NX
CS-TVB,2019-01-01,Airbus A320-251NEO
EI-EVM,2012-01-01,Boeing 737-8AS
N985JT,2017-01-01,Airbus A321-231
N592JB,2004-01-01,Airbus A320-232
EI-LRB,2019-01-01,Airbus A321-253NX
F-GKXY,2009-01-01,Airbus A320-214
F-GRXB,2001-01-01,Airbus A319-111
D-AIUI,2014-01-01,Airbus A320-214
D-AIJB,2020-01-01,Airbus A320-271N
EI-ENG,2010-01-01,Boeing 737-8AS
EI-DEN,2005-01-01,Airbus A320-214
EC-ILR,2002-01-01,Airbus A320-214
EC-ILQ,2002-01-01,Airbus A320-214
EI-DVG,2007-01-01,Airbus A320-214
EI-GAM,2009-01-01,Airbus A320-214
EI-CVC,2001-01-01,Airbus A320-214
EI-SIH,2018-01-01,Airbus A320-251N
SE-RON,2018-01-01,Airbus A320-251N
9H-LOU,2007-01-01,Airbus A320-214
9H-LON,2007-01-01,Airbus A320-214
EI-DEF,2004-01-01,Airbus A320-214
EI-HGR,2021-01-01,Boeing 737-8200
9H-LOO,2006-01-01,Airbus A320
EC-MQB,2017-01-01,Airbus A321-231
DEF,,
EC-LYE,2013-01-01,Airbus A320-216
EI-DEJ,2005-01-01,Airbus A320-214
A6-EGG,2011-01-01,Boeing 777-31H/ER
A6-EVN,2020-01-01,Airbus A380-841
ZK-NZI,2016-01-01,Boeing 787-9
HS-TEN,2009-01-01,Airbus A330-343X
HS-TTB,,
EI-LRE,2020-01-01,Airbus A321-253NX
EI-CVB,2000-01-01,Airbus A320-214
F-HUYN,2015-01-01,Boeing B-737-82R(W)
EC-NYF,0000-01-01,Airbus 321-271NX
OY-KAO,2006-01-01,Airbus A320-232
SE-RUB,2020-01-01,Airbus A320-251N
LN-NIO,2008-01-01,Boeing 737-81M
YL-ABR,,
OH-LZT,2017-01-01,Airbus A320-231
EI-NSC,,
PH-BGM,2011-01-01,Boeing 737-7K2
PH-EZR,2010-01-01,Embraer 190LR
YU-ASA,,
SX-OBR,,
OE-LWQ,2012-01-01,Embraer 195LR
OE-LBA,1995-01-01,Airbus A321-111
HB-JCG,2017-01-01,Bombardier CSeries
TF-PPC,2022-01-01,Airbus A320-251N
